id,complaint_text,department,issue_type,locality,duration_text,latitude,longitude,status
C2109,"Manhole lid broken with Gutter Stagnation near school in Lajpat Nagar, life-threatening for children.",Sewage,Gutter Stagnation,Lajpat Nagar,5 days,28.566972,77.244307,Pending
C2122,Black foul-smelling Gutter Stagnation flooding the main road in Krishna Nagar for 5 days.,Sewage,Gutter Stagnation,Krishna Nagar,5 days,28.659708,77.277235,Pending
C2093,Public walkway encroached by shops causing Public Nuisance in Janakpuri Block B for for past 4 days.,Other,Public Nuisance,Janakpuri Block B,for past 4 days,28.620624,77.087737,In Progress
C2041,Sanitation workers haven't cleared Overflowing Bin near Central Park in Dwarka Sector 6 for past since Monday.,Sanitation,Overflowing Bin,Dwarka Sector 6,since Monday,28.584171,77.059406,Resolved
C1487,"Uncollected garbage and Garbage Dump rotting in Karol Bagh for since last Thursday, breeding mosquitoes.",Sanitation,Garbage Dump,Karol Bagh,since last Thursday,28.651548,77.189068,Pending
C1657,"Manhole lid broken with Gutter Stagnation near school in Indirapuram, life-threatening for children.",Sewage,Gutter Stagnation,Indirapuram,1 week,28.642283,77.371848,Pending
C1686,Heavy storm caused Tree Fall Hazard blocking the entrance of Janakpuri Block B park near City Hospital.,Parks,Tree Fall Hazard,Janakpuri Block B,5 days,28.62255,77.086112,Resolved
C1399,"Public park in Lajpat Nagar has Broken Bench for 1 week, unsafe for walking.",Parks,Broken Bench,Lajpat Nagar,1 week,28.569598,77.242937,In Progress
C1084,"Underground sewer line has Sewage Overflow near City Hospital in Dwarka Sector 6, water entering ground floor homes.",Sewage,Sewage Overflow,Dwarka Sector 6,24 hours,28.581018,77.058657,In Progress
C1286,Children play area has damaged swings and Overgrown Vegetation in Karol Bagh municipal park.,Parks,Overgrown Vegetation,Karol Bagh,1 week,28.651667,77.192098,In Progress
C2171,Children play area has damaged swings and Tree Fall Hazard in Noida Sector 62 municipal park.,Parks,Tree Fall Hazard,Noida Sector 62,since Monday,28.628774,77.364556,Resolved
C1268,"Severe Water Contamination observed near Pillar 45 in Dwarka Sector 6, clean drinking water being wasted for almost 10 days.",Water,Water Contamination,Dwarka Sector 6,almost 10 days,28.58272,77.058758,Pending
C1583,"Public park in Vasant Kunj has Overgrown Vegetation for 1 week, unsafe for walking.",Parks,Overgrown Vegetation,Vasant Kunj,1 week,28.528839,77.1558,Pending
C1720,"Heavy rain created a massive Footpath Damage in Mayur Vihar Phase 1, risk of fatal accidents at night.",Roads,Footpath Damage,Mayur Vihar Phase 1,2 weeks,28.610522,77.294459,Pending
C2175,"Massive Garbage Dump accumulating near Main Market in Pitampura for 24 hours, terrible stench.",Sanitation,Garbage Dump,Pitampura,24 hours,28.700395,77.139867,Resolved
C2071,No drinking water received in Janakpuri Block B due to Water Leakage since last 5 days.,Water,Water Leakage,Janakpuri Block B,5 days,28.623616,77.087106,Pending
C1423,Uncovered electrical junction box with Power Outage near children's park in Rohini Sector 14.,Electrical,Power Outage,Rohini Sector 14,1 week,28.717076,77.132138,Pending
C1414,Dense bushes and Overgrown Vegetation in Pitampura park haven't been trimmed for 1 week.,Parks,Overgrown Vegetation,Pitampura,1 week,28.697197,77.138301,Pending
C1604,Illegal temporary stalls and Public Nuisance blocking the walkway in Civil Lines.,Other,Public Nuisance,Civil Lines,24 hours,28.678049,77.222833,Resolved
C1463,Distribution transformer has Transformer Fault sparking continuously near City Hospital in Shahdara.,Electrical,Transformer Fault,Shahdara,3 days,28.673236,77.289405,Pending
C1411,There is a deep Footpath Damage on Indirapuram Main Road causing severe traffic congestion.,Roads,Footpath Damage,Indirapuram,5 days,28.641766,77.371731,Manual Review
C2062,Children play area has damaged swings and Tree Fall Hazard in Saket municipal park.,Parks,Tree Fall Hazard,Saket,24 hours,28.525667,77.208364,In Progress
C1868,Open drain with Gutter Stagnation causing severe mosquito menace in Dwarka Sector 6.,Sewage,Gutter Stagnation,Dwarka Sector 6,for past 4 days,28.583618,77.062307,In Progress
C1063,"Public park in Mayur Vihar Phase 1 has Park Cleanliness for 48 hours, unsafe for walking.",Parks,Park Cleanliness,Mayur Vihar Phase 1,48 hours,28.610114,77.297214,Pending
C1314,"Major Water Leakage on the main line near Main Market in Karol Bagh, whole sector affected.",Water,Water Leakage,Karol Bagh,24 hours,28.650188,77.189156,In Progress
C1687,Cattle wandering on road causing Noise Pollution near Bus Stand in Connaught Place.,Other,Noise Pollution,Connaught Place,24 hours,28.63172,77.217988,Pending
C1897,Children play area has damaged swings and Overgrown Vegetation in Krishna Nagar municipal park.,Parks,Overgrown Vegetation,Krishna Nagar,almost 10 days,28.661491,77.278927,Pending
C2106,Children play area has damaged swings and Overgrown Vegetation in Saket municipal park.,Parks,Overgrown Vegetation,Saket,24 hours,28.526037,77.207712,Pending
C1680,Unauthorized commercial establishment causing Stray Animals late night in Shahdara for since Monday.,Other,Stray Animals,Shahdara,since Monday,28.671789,77.287442,In Progress
C1665,"Key traffic junction has Traffic Congestion at Pitampura crossing, accidents happening daily.",Traffic,Traffic Congestion,Pitampura,2 days,28.70034,77.137597,Resolved
C1159,Dense bushes and Overgrown Vegetation in Shahdara park haven't been trimmed for 24 hours.,Parks,Overgrown Vegetation,Shahdara,24 hours,28.672286,77.289316,Pending
C1484,"Severe Pipeline Burst observed near Community Center in Indirapuram, clean drinking water being wasted for since last Thursday.",Water,Pipeline Burst,Indirapuram,since last Thursday,28.640557,77.370044,Resolved
C2161,"The road in Janakpuri Block B has an unrepaired Pothole for 3 days, vehicles are getting damaged.",Roads,Pothole,Janakpuri Block B,3 days,28.620709,77.087722,In Progress
C1513,Illegal waste and Overflowing Bin dumped openly beside Govt Senior Secondary School in Karol Bagh.,Sanitation,Overflowing Bin,Karol Bagh,for past 4 days,28.653195,77.191338,Manual Review
C1723,Loudspeakers and industrial machinery causing unbearable Noise Pollution in residential Karol Bagh for almost 10 days.,Other,Noise Pollution,Karol Bagh,almost 10 days,28.649403,77.188851,Pending
C1822,Loudspeakers and industrial machinery causing unbearable Encroachment in residential Civil Lines for since last Thursday.,Other,Encroachment,Civil Lines,since last Thursday,28.676623,77.221354,In Progress
C1179,"Severe Low Water Pressure observed near Govt Senior Secondary School in Vasant Kunj, clean drinking water being wasted for 2 weeks.",Water,Low Water Pressure,Vasant Kunj,2 weeks,28.529097,77.153953,Resolved
C1428,"Underground sewer line has Sewage Blockage near Railway Crossing in Civil Lines, water entering ground floor homes.",Sewage,Sewage Blockage,Civil Lines,1 week,28.679999,77.223522,Resolved
C1090,Contaminated foul-smelling water coming from taps in Rohini Sector 14 for almost 10 days.,Water,Water Contamination,Rohini Sector 14,almost 10 days,28.716325,77.131459,In Progress
C1270,"Drinking water supply in Janakpuri Block B has brown smelly Pipeline Burst for 1 week, health risk to residents.",Water,Pipeline Burst,Janakpuri Block B,1 week,28.621487,77.086757,Pending
C1231,Old banyan tree has Tree Fall Hazard leaning over pedestrian pathway near Mother Dairy in Noida Sector 62.,Parks,Tree Fall Hazard,Noida Sector 62,24 hours,28.628185,77.365603,Resolved
C1771,"Urgent repair needed for Road Damage near Bus Stand, road surface completely broken.",Roads,Road Damage,Dwarka Sector 6,5 days,28.582775,77.059243,In Progress
C2002,Illegal temporary stalls and Encroachment blocking the walkway in Vasant Kunj.,Other,Encroachment,Vasant Kunj,24 hours,28.530683,77.153615,Resolved
C1568,Underground Water Leakage near Govt Senior Secondary School causing street flooding in Connaught Place.,Water,Water Leakage,Connaught Place,3 days,28.632119,77.218242,Pending
C1141,Missing directional signboard and Traffic Congestion near Community Center in Civil Lines.,Traffic,Traffic Congestion,Civil Lines,since Monday,28.678422,77.222021,Resolved
C1597,There is a deep Road Damage on Noida Sector 62 Main Road causing severe traffic congestion.,Roads,Road Damage,Noida Sector 62,3 days,28.626127,77.365467,Pending
C1372,"Underground sewer line has Gutter Stagnation near Pillar 45 in Krishna Nagar, water entering ground floor homes.",Sewage,Gutter Stagnation,Krishna Nagar,since Monday,28.660324,77.2794,Pending
C1512,Underground Pipeline Burst near Gate 2 causing street flooding in Civil Lines.,Water,Pipeline Burst,Civil Lines,almost 10 days,28.677356,77.224156,Manual Review
C1100,Illegal temporary stalls and Noise Pollution blocking the walkway in Dwarka Sector 6.,Other,Noise Pollution,Dwarka Sector 6,3 days,28.584181,77.060217,In Progress
C1046,"Public park in Lajpat Nagar has Tree Fall Hazard for 5 days, unsafe for walking.",Parks,Tree Fall Hazard,Lajpat Nagar,5 days,28.568022,77.245234,Pending
C1467,Public walkway encroached by shops causing Public Nuisance in Noida Sector 62 for 3 days.,Other,Public Nuisance,Noida Sector 62,3 days,28.629037,77.363787,Pending
C1743,"Hazardous live Broken Street Light hanging dangerously low near Bus Stand in Saket, risk of electric shock.",Electrical,Broken Street Light,Saket,since Monday,28.523105,77.207281,Pending
C1736,"Community dustbin has Dead Animal in Vasant Kunj, stray dogs and cows scattering trash everywhere.",Sanitation,Dead Animal,Vasant Kunj,for past 4 days,28.527994,77.152153,Pending
C1803,"Hazardous live Power Outage hanging dangerously low near Main Market in Saket, risk of electric shock.",Electrical,Power Outage,Saket,2 days,28.522763,77.207983,Resolved
C1296,Choked drainage and Manhole Overflow outside Railway Crossing in Noida Sector 62 for past 3 days.,Sewage,Manhole Overflow,Noida Sector 62,3 days,28.627444,77.366677,Resolved
C1603,Old banyan tree has Overgrown Vegetation leaning over pedestrian pathway near Govt Senior Secondary School in Vasant Kunj.,Parks,Overgrown Vegetation,Vasant Kunj,since last Thursday,28.528906,77.15325,Pending
C2000,"Key traffic junction has Traffic Congestion at Shahdara crossing, accidents happening daily.",Traffic,Traffic Congestion,Shahdara,almost 10 days,28.671448,77.288816,Manual Review
C2072,Stagnant sewer water and Sewage Blockage overflowing onto pavement in Dwarka Sector 6 for since Monday.,Sewage,Sewage Blockage,Dwarka Sector 6,since Monday,28.584106,77.061282,In Progress
C2068,Stagnant sewer water and Sewage Blockage overflowing onto pavement in Karol Bagh for for past 4 days.,Sewage,Sewage Blockage,Karol Bagh,for past 4 days,28.652539,77.191567,Pending
C2164,There is a deep Road Damage on Rohini Sector 14 Main Road causing severe traffic congestion.,Roads,Road Damage,Rohini Sector 14,48 hours,28.71659,77.133121,Pending
C2182,"Massive Overflowing Bin accumulating near Pillar 45 in Indirapuram for almost 10 days, terrible stench.",Sanitation,Overflowing Bin,Indirapuram,almost 10 days,28.643293,77.371217,Resolved
C1474,Pack of aggressive stray dogs causing Stray Animals near Central Park in Indirapuram.,Other,Stray Animals,Indirapuram,since last Thursday,28.640696,77.372206,Resolved
C1585,"Underground sewer line has Gutter Stagnation near Police Station in Saket, water entering ground floor homes.",Sewage,Gutter Stagnation,Saket,2 days,28.525379,77.206798,Pending
C1566,Large Road Damage right in front of Post Office in Rohini Sector 14. Please fix immediately.,Roads,Road Damage,Rohini Sector 14,2 weeks,28.719762,77.133303,Pending
C1942,"Uncollected garbage and Garbage Dump rotting in Mayur Vihar Phase 1 for 2 days, breeding mosquitoes.",Sanitation,Garbage Dump,Mayur Vihar Phase 1,2 days,28.609553,77.294592,Pending
C2166,Auto-rickshaws blocking entry with Traffic Signal Down outside Metro Station in Pitampura.,Traffic,Traffic Signal Down,Pitampura,2 days,28.699418,77.137112,In Progress
C1380,Auto-rickshaws blocking entry with Traffic Congestion outside Gate 2 in Karol Bagh.,Traffic,Traffic Congestion,Karol Bagh,24 hours,28.651788,77.188817,Resolved
C2094,Heavy storm caused Tree Fall Hazard blocking the entrance of Karol Bagh park near Metro Station.,Parks,Tree Fall Hazard,Karol Bagh,24 hours,28.649654,77.192336,Resolved
C1139,Stagnant sewer water and Manhole Overflow overflowing onto pavement in Krishna Nagar for since Monday.,Sewage,Manhole Overflow,Krishna Nagar,since Monday,28.661489,77.278905,Pending
C1058,Missing directional signboard and Traffic Congestion near Police Station in Shahdara.,Traffic,Traffic Congestion,Shahdara,since last Thursday,28.673107,77.289827,Pending
C1986,"Drinking water supply in Dwarka Sector 6 has brown smelly Low Water Pressure for 1 week, health risk to residents.",Water,Low Water Pressure,Dwarka Sector 6,1 week,28.581779,77.060089,Pending
C1492,Public health emergency due to unattended Garbage Dump near school gate in Lajpat Nagar.,Sanitation,Garbage Dump,Lajpat Nagar,almost 10 days,28.568218,77.242153,In Progress
C1605,Missing directional signboard and Illegal Parking near City Hospital in Civil Lines.,Traffic,Illegal Parking,Civil Lines,48 hours,28.679463,77.224005,Pending
C1504,Illegal temporary stalls and Public Nuisance blocking the walkway in Karol Bagh.,Other,Public Nuisance,Karol Bagh,almost 10 days,28.650338,77.189841,Pending
C2146,No drinking water received in Vasant Kunj due to Water Contamination since last 48 hours.,Water,Water Contamination,Vasant Kunj,48 hours,28.52955,77.153461,In Progress
C1364,There is a deep Missing Manhole Cover on Vasant Kunj Main Road causing severe traffic congestion.,Roads,Missing Manhole Cover,Vasant Kunj,48 hours,28.530696,77.154809,Pending
C1528,Children play area has damaged swings and Park Cleanliness in Shahdara municipal park.,Parks,Park Cleanliness,Shahdara,since last Thursday,28.673116,77.289954,In Progress
C1421,Distribution transformer has Exposed Wire sparking continuously near Bus Stand in Connaught Place.,Electrical,Exposed Wire,Connaught Place,5 days,28.633342,77.216598,In Progress
C1435,Uncovered electrical junction box with Broken Street Light near children's park in Indirapuram.,Electrical,Broken Street Light,Indirapuram,2 weeks,28.641152,77.372883,Pending
C2032,"Community dustbin has Dead Animal in Saket, stray dogs and cows scattering trash everywhere.",Sanitation,Dead Animal,Saket,24 hours,28.526312,77.207265,Pending
C1187,Missing directional signboard and Traffic Signal Down near Mother Dairy in Civil Lines.,Traffic,Traffic Signal Down,Civil Lines,since last Thursday,28.678617,77.221862,In Progress
C2121,Open drain with Sewage Overflow causing severe mosquito menace in Pitampura.,Sewage,Sewage Overflow,Pitampura,since Monday,28.69723,77.136424,In Progress
C1250,Uncovered electrical junction box with Power Outage near children's park in Vasant Kunj.,Electrical,Power Outage,Vasant Kunj,3 days,28.529402,77.154013,Pending
C1340,"Key traffic junction has Traffic Signal Down at Janakpuri Block B crossing, accidents happening daily.",Traffic,Traffic Signal Down,Janakpuri Block B,since Monday,28.620183,77.087332,Resolved
C2147,"Street light pole has Power Outage near Central Park in Karol Bagh, complete darkness for 1 week.",Electrical,Power Outage,Karol Bagh,1 week,28.651768,77.188735,Resolved
C2019,Illegal temporary stalls and Encroachment blocking the walkway in Janakpuri Block B.,Other,Encroachment,Janakpuri Block B,1 week,28.621487,77.085843,Pending
C2049,Old banyan tree has Broken Bench leaning over pedestrian pathway near Gate 2 in Noida Sector 62.,Parks,Broken Bench,Noida Sector 62,24 hours,28.628524,77.365606,In Progress
C1398,"Major Low Water Pressure on the main line near Bus Stand in Connaught Place, whole sector affected.",Water,Low Water Pressure,Connaught Place,2 days,28.631225,77.217315,In Progress
C1738,"Drinking water supply in Krishna Nagar has brown smelly Pipeline Burst for 3 days, health risk to residents.",Water,Pipeline Burst,Krishna Nagar,3 days,28.658125,77.277918,Pending
C1593,"Uncollected garbage and Garbage Dump rotting in Karol Bagh for 2 weeks, breeding mosquitoes.",Sanitation,Garbage Dump,Karol Bagh,2 weeks,28.652678,77.190866,In Progress
C1431,Uncovered electrical junction box with Transformer Fault near children's park in Mayur Vihar Phase 1.,Electrical,Transformer Fault,Mayur Vihar Phase 1,2 weeks,28.610082,77.296763,Resolved
C2126,"Hazardous live Broken Street Light hanging dangerously low near Gate 2 in Dwarka Sector 6, risk of electric shock.",Electrical,Broken Street Light,Dwarka Sector 6,5 days,28.581878,77.061576,Resolved
C1156,"Key traffic junction has Traffic Signal Down at Shahdara crossing, accidents happening daily.",Traffic,Traffic Signal Down,Shahdara,2 days,28.673145,77.288039,Pending
C1475,"Hazardous live Power Outage hanging dangerously low near Police Station in Connaught Place, risk of electric shock.",Electrical,Power Outage,Connaught Place,2 weeks,28.632246,77.218385,Pending
C1455,"Key traffic junction has Missing Signboard at Connaught Place crossing, accidents happening daily.",Traffic,Missing Signboard,Connaught Place,3 days,28.63099,77.216071,Pending
C1397,"Drinking water supply in Pitampura has brown smelly Low Water Pressure for 5 days, health risk to residents.",Water,Low Water Pressure,Pitampura,5 days,28.699928,77.138588,Resolved
C2184,Illegal waste and Overflowing Bin dumped openly beside Gate 2 in Connaught Place.,Sanitation,Overflowing Bin,Connaught Place,1 week,28.631069,77.21799,Manual Review
C1387,"Major intersection in Karol Bagh has Traffic Signal Down near Central Park, creating chaotic traffic jam.",Traffic,Traffic Signal Down,Karol Bagh,5 days,28.652497,77.192086,Resolved
C2196,"Drinking water supply in Vasant Kunj has brown smelly Water Leakage for since last Thursday, health risk to residents.",Water,Water Leakage,Vasant Kunj,since last Thursday,28.53077,77.15509,Resolved
C1453,Black foul-smelling Manhole Overflow flooding the main road in Lajpat Nagar for 2 days.,Sewage,Manhole Overflow,Lajpat Nagar,2 days,28.569109,77.242741,In Progress
C1879,Dense bushes and Overgrown Vegetation in Dwarka Sector 6 park haven't been trimmed for 1 week.,Parks,Overgrown Vegetation,Dwarka Sector 6,1 week,28.58416,77.062062,Pending
C2198,"Drinking water supply in Janakpuri Block B has brown smelly Water Leakage for since Monday, health risk to residents.",Water,Water Leakage,Janakpuri Block B,since Monday,28.620932,77.087693,Pending
C1732,"Massive Overflowing Bin accumulating near Police Station in Krishna Nagar for 5 days, terrible stench.",Sanitation,Overflowing Bin,Krishna Nagar,5 days,28.660056,77.277276,Resolved
C1794,Stagnant sewer water and Gutter Stagnation overflowing onto pavement in Janakpuri Block B for 24 hours.,Sewage,Gutter Stagnation,Janakpuri Block B,24 hours,28.620283,77.08812,Resolved
C2118,Sanitation workers haven't cleared Garbage Dump near Govt Senior Secondary School in Shahdara for past since last Thursday.,Sanitation,Garbage Dump,Shahdara,since last Thursday,28.672813,77.286404,In Progress
C1009,"Street light pole has Exposed Wire near Gate 2 in Rohini Sector 14, complete darkness for 24 hours.",Electrical,Exposed Wire,Rohini Sector 14,24 hours,28.717605,77.130765,Resolved
C1825,"Hazardous live Power Outage hanging dangerously low near Community Center in Saket, risk of electric shock.",Electrical,Power Outage,Saket,for past 4 days,28.52274,77.207352,Resolved
C1839,Sanitation workers haven't cleared Garbage Dump near Railway Crossing in Vasant Kunj for past 2 weeks.,Sanitation,Garbage Dump,Vasant Kunj,2 weeks,28.529935,77.152604,Resolved
C1242,"Urgent repair needed for Pothole near Central Park, road surface completely broken.",Roads,Pothole,Connaught Place,3 days,28.633214,77.21604,In Progress
C1127,Stagnant sewer water and Manhole Overflow overflowing onto pavement in Mayur Vihar Phase 1 for almost 10 days.,Sewage,Manhole Overflow,Mayur Vihar Phase 1,almost 10 days,28.607635,77.2935,Resolved
C1251,"Major Water Leakage on the main line near Mother Dairy in Pitampura, whole sector affected.",Water,Water Leakage,Pitampura,1 week,28.699291,77.136999,Pending
C1001,Contaminated foul-smelling water coming from taps in Dwarka Sector 6 for 1 week.,Water,Water Leakage,Dwarka Sector 6,1 week,28.580858,77.05901,Resolved
C2155,"Community dustbin has Illegal Dumping in Janakpuri Block B, stray dogs and cows scattering trash everywhere.",Sanitation,Illegal Dumping,Janakpuri Block B,48 hours,28.621375,77.089409,Pending
C2011,"Hazardous live Power Outage hanging dangerously low near Pillar 45 in Dwarka Sector 6, risk of electric shock.",Electrical,Power Outage,Dwarka Sector 6,almost 10 days,28.582199,77.061015,Resolved
C1181,Children play area has damaged swings and Overgrown Vegetation in Rohini Sector 14 municipal park.,Parks,Overgrown Vegetation,Rohini Sector 14,24 hours,28.719723,77.133857,In Progress
C1509,Sanitation workers haven't cleared Overflowing Bin near Post Office in Janakpuri Block B for past 3 days.,Sanitation,Overflowing Bin,Janakpuri Block B,3 days,28.62281,77.089368,Resolved
C2015,Old banyan tree has Broken Bench leaning over pedestrian pathway near Central Park in Pitampura.,Parks,Broken Bench,Pitampura,48 hours,28.698831,77.140043,Pending
C1390,Continuous gridlock and Illegal Parking due to illegal encroaching near Govt Senior Secondary School in Connaught Place.,Traffic,Illegal Parking,Connaught Place,48 hours,28.630727,77.217454,Pending
C1348,Unauthorized commercial establishment causing Noise Pollution late night in Connaught Place for 2 days.,Other,Noise Pollution,Connaught Place,2 days,28.630549,77.214859,Pending
C1776,"Key traffic junction has Missing Signboard at Pitampura crossing, accidents happening daily.",Traffic,Missing Signboard,Pitampura,for past 4 days,28.699668,77.139598,Resolved
C1040,Sanitation workers haven't cleared Garbage Dump near Mother Dairy in Connaught Place for past 5 days.,Sanitation,Garbage Dump,Connaught Place,5 days,28.631219,77.214867,Pending
C1136,"Community dustbin has Dead Animal in Lajpat Nagar, stray dogs and cows scattering trash everywhere.",Sanitation,Dead Animal,Lajpat Nagar,2 days,28.566227,77.242733,Resolved
C1510,"The road in Rohini Sector 14 has an unrepaired Footpath Damage for since last Thursday, vehicles are getting damaged.",Roads,Footpath Damage,Rohini Sector 14,since last Thursday,28.717042,77.134076,In Progress
C1637,"Drinking water supply in Civil Lines has brown smelly Pipeline Burst for since Monday, health risk to residents.",Water,Pipeline Burst,Civil Lines,since Monday,28.679248,77.221796,Resolved
C1757,Children play area has damaged swings and Broken Bench in Saket municipal park.,Parks,Broken Bench,Saket,almost 10 days,28.522405,77.207109,Pending
C1220,Black foul-smelling Sewage Overflow flooding the main road in Indirapuram for 2 weeks.,Sewage,Sewage Overflow,Indirapuram,2 weeks,28.64241,77.372455,Pending
C1682,"Key traffic junction has Missing Signboard at Noida Sector 62 crossing, accidents happening daily.",Traffic,Missing Signboard,Noida Sector 62,3 days,28.627901,77.364306,In Progress
C1523,There is a deep Missing Manhole Cover on Rohini Sector 14 Main Road causing severe traffic congestion.,Roads,Missing Manhole Cover,Rohini Sector 14,for past 4 days,28.719971,77.133969,Pending
C1007,Distribution transformer has Broken Street Light sparking continuously near Bus Stand in Dwarka Sector 6.,Electrical,Broken Street Light,Dwarka Sector 6,almost 10 days,28.583636,77.059251,Pending
C1073,"Manhole lid broken with Sewage Overflow near school in Vasant Kunj, life-threatening for children.",Sewage,Sewage Overflow,Vasant Kunj,24 hours,28.529431,77.154546,Pending
C1234,Black foul-smelling Gutter Stagnation flooding the main road in Connaught Place for since last Thursday.,Sewage,Gutter Stagnation,Connaught Place,since last Thursday,28.631019,77.218621,Resolved
C1171,Heavy storm caused Broken Bench blocking the entrance of Janakpuri Block B park near Metro Station.,Parks,Broken Bench,Janakpuri Block B,2 weeks,28.622136,77.088374,Pending
C1877,There is a deep Missing Manhole Cover on Saket Main Road causing severe traffic congestion.,Roads,Missing Manhole Cover,Saket,since Monday,28.5237,77.207526,Resolved
C1812,"Drinking water supply in Indirapuram has brown smelly Water Leakage for for past 4 days, health risk to residents.",Water,Water Leakage,Indirapuram,for past 4 days,28.64341,77.372366,Resolved
C1036,Large Missing Manhole Cover right in front of Govt Senior Secondary School in Lajpat Nagar. Please fix immediately.,Roads,Missing Manhole Cover,Lajpat Nagar,2 weeks,28.566162,77.241728,In Progress
C1501,"Drinking water supply in Janakpuri Block B has brown smelly Low Water Pressure for 24 hours, health risk to residents.",Water,Low Water Pressure,Janakpuri Block B,24 hours,28.620747,77.089423,Resolved
C1162,Public walkway encroached by shops causing Encroachment in Pitampura for almost 10 days.,Other,Encroachment,Pitampura,almost 10 days,28.699541,77.138898,Resolved
C1646,"Uncollected garbage and Illegal Dumping rotting in Pitampura for 1 week, breeding mosquitoes.",Sanitation,Illegal Dumping,Pitampura,1 week,28.70053,77.136761,Pending
C1537,Underground Water Leakage near Main Market causing street flooding in Rohini Sector 14.,Water,Water Leakage,Rohini Sector 14,3 days,28.718436,77.133398,Resolved
C1353,"Massive Garbage Dump accumulating near Govt Senior Secondary School in Janakpuri Block B for 2 days, terrible stench.",Sanitation,Garbage Dump,Janakpuri Block B,2 days,28.620555,77.089612,In Progress
C1437,Public walkway encroached by shops causing Public Nuisance in Karol Bagh for almost 10 days.,Other,Public Nuisance,Karol Bagh,almost 10 days,28.649632,77.190508,Pending
C1973,"The road in Mayur Vihar Phase 1 has an unrepaired Footpath Damage for 1 week, vehicles are getting damaged.",Roads,Footpath Damage,Mayur Vihar Phase 1,1 week,28.607132,77.293449,Resolved
C1519,"Hazardous live Power Outage hanging dangerously low near Main Market in Karol Bagh, risk of electric shock.",Electrical,Power Outage,Karol Bagh,for past 4 days,28.652269,77.189173,Pending
C1245,Heavy storm caused Park Cleanliness blocking the entrance of Mayur Vihar Phase 1 park near Metro Station.,Parks,Park Cleanliness,Mayur Vihar Phase 1,48 hours,28.609377,77.294139,Pending
C2157,Choked drainage and Sewage Overflow outside Govt Senior Secondary School in Karol Bagh for past 48 hours.,Sewage,Sewage Overflow,Karol Bagh,48 hours,28.652149,77.189451,Pending
C1577,Stagnant sewer water and Gutter Stagnation overflowing onto pavement in Janakpuri Block B for 2 weeks.,Sewage,Gutter Stagnation,Janakpuri Block B,2 weeks,28.621552,77.089214,Pending
C2091,Dense bushes and Overgrown Vegetation in Shahdara park haven't been trimmed for 48 hours.,Parks,Overgrown Vegetation,Shahdara,48 hours,28.672501,77.288813,Pending
C1684,"Major Low Water Pressure on the main line near Metro Station in Saket, whole sector affected.",Water,Low Water Pressure,Saket,2 weeks,28.524531,77.206203,Pending
C1769,"Key traffic junction has Missing Signboard at Connaught Place crossing, accidents happening daily.",Traffic,Missing Signboard,Connaught Place,since last Thursday,28.632868,77.216481,Pending
C1002,"Severe Pipeline Burst observed near Metro Station in Krishna Nagar, clean drinking water being wasted for 1 week.",Water,Pipeline Burst,Krishna Nagar,1 week,28.659031,77.279608,In Progress
C1546,"Severe Low Water Pressure observed near Post Office in Indirapuram, clean drinking water being wasted for 1 week.",Water,Low Water Pressure,Indirapuram,1 week,28.642208,77.37032,Pending
C1758,Auto-rickshaws blocking entry with Traffic Signal Down outside Railway Crossing in Indirapuram.,Traffic,Traffic Signal Down,Indirapuram,2 weeks,28.642292,77.37185,In Progress
C1845,Public walkway encroached by shops causing Public Nuisance in Lajpat Nagar for since last Thursday.,Other,Public Nuisance,Lajpat Nagar,since last Thursday,28.567395,77.244031,Manual Review
C2111,"Uncollected garbage and Illegal Dumping rotting in Janakpuri Block B for 2 days, breeding mosquitoes.",Sanitation,Illegal Dumping,Janakpuri Block B,2 days,28.623574,77.088357,Pending
C1892,Children play area has damaged swings and Park Cleanliness in Connaught Place municipal park.,Parks,Park Cleanliness,Connaught Place,24 hours,28.632263,77.218553,In Progress
C1930,Sanitation workers haven't cleared Garbage Dump near Main Market in Dwarka Sector 6 for past 2 weeks.,Sanitation,Garbage Dump,Dwarka Sector 6,2 weeks,28.581476,77.058712,Pending
C1790,Stagnant sewer water and Manhole Overflow overflowing onto pavement in Shahdara for 24 hours.,Sewage,Manhole Overflow,Shahdara,24 hours,28.67345,77.288501,Resolved
C1548,Missing directional signboard and Traffic Signal Down near Govt Senior Secondary School in Pitampura.,Traffic,Traffic Signal Down,Pitampura,since Monday,28.698255,77.137274,In Progress
C1832,Continuous gridlock and Traffic Signal Down due to illegal encroaching near Community Center in Shahdara.,Traffic,Traffic Signal Down,Shahdara,since last Thursday,28.674617,77.287932,In Progress
C2199,Unauthorized commercial establishment causing Stray Animals late night in Connaught Place for 2 days.,Other,Stray Animals,Connaught Place,2 days,28.630954,77.215847,Pending
C2037,"Public park in Rohini Sector 14 has Tree Fall Hazard for 24 hours, unsafe for walking.",Parks,Tree Fall Hazard,Rohini Sector 14,24 hours,28.717371,77.131323,Pending
C1254,Open drain with Sewage Overflow causing severe mosquito menace in Dwarka Sector 6.,Sewage,Sewage Overflow,Dwarka Sector 6,1 week,28.582613,77.058781,Pending
C1138,Illegal temporary stalls and Encroachment blocking the walkway in Civil Lines.,Other,Encroachment,Civil Lines,3 days,28.678208,77.221186,In Progress
C2153,Large Pothole right in front of Police Station in Janakpuri Block B. Please fix immediately.,Roads,Pothole,Janakpuri Block B,48 hours,28.623683,77.086829,In Progress
